customer_id,order_date,total_amount
92,2024-10-03,29999.0
69,2025-02-21,3800.0
18,2024-11-10,780.0
23,2025-02-15,1450.0
117,2024-10-05,25498.0
70,2024-05-04,28249.0
25,2025-03-17,14200.0
99,2024-02-21,7459.0
98,2024-09-12,47598.0
25,2025-03-07,90997.0
65,2024-12-11,7000.0
45,2024-07-22,1360.0
43,2024-12-26,99998.0
10,2025-03-11,28649.0
38,2024-12-12,17999.0
73,2024-05-18,80685.0
6,2024-08-12,7050.0
42,2024-12-27,29000.0
26,2024-07-23,46500.0
7,2024-04-25,6410.0
26,2024-10-29,90000.0
62,2024-05-08,21098.0
63,2024-06-07,40588.0
105,2024-03-06,29000.0
7,2024-05-25,33899.0
19,2024-04-04,960.0
49,2024-04-03,109747.0
45,2024-06-17,1450.0
7,2024-07-09,81400.0
108,2024-06-25,23047.0
26,2024-10-30,850.0
82,2024-08-15,1040.0
3,2024-10-03,6280.0
95,2024-11-30,32790.0
33,2024-09-03,2550.0
104,2024-05-27,7600.0
56,2024-06-28,10950.0
69,2025-02-16,57759.0
3,2024-10-12,136327.0
107,2024-12-15,104996.0
76,2024-11-27,6400.0
34,2024-11-02,63519.0
64,2024-12-26,49999.0
70,2024-02-24,36499.0
68,2024-11-27,66398.0
114,2024-11-09,24249.0
7,2024-04-15,67488.0
27,2025-01-01,53599.0
22,2024-06-23,93848.0
107,2024-08-25,25450.0
78,2024-04-17,28398.0
80,2024-09-07,39999.0
100,2025-01-08,9830.0
25,2025-03-13,39999.0
41,2024-08-24,19799.0
90,2024-12-18,48278.0
88,2024-10-19,114498.0
16,2024-06-27,16080.0
16,2024-04-06,11770.0
10,2024-12-30,1450.0
70,2024-02-11,252675.0
28,2024-10-07,31699.0
88,2024-08-18,21998.0
115,2024-09-26,8280.0
104,2024-05-22,115495.0
105,2024-01-15,5200.0
10,2025-01-25,16899.0
83,2024-10-11,13000.0
87,2024-08-19,224994.0
90,2024-09-24,93897.0
110,2024-07-31,450.0
69,2024-12-30,1950.0
16,2024-05-24,20678.0
84,2024-08-25,11039.0
71,2024-11-05,1450.0
9,2024-09-02,28879.0
91,2024-11-05,53000.0
101,2024-07-02,4200.0
93,2025-02-11,115898.0
51,2024-12-04,25100.0
103,2024-07-23,17108.0
62,2024-02-28,49889.0
19,2024-05-01,94898.0
70,2024-02-28,129997.0
105,2024-02-27,5300.0
13,2024-12-02,102358.0
43,2024-12-20,9999.0
20,2024-07-08,4200.0
82,2024-06-22,15689.0
10,2025-02-23,12150.0
46,2025-03-06,176946.0
101,2024-04-30,21848.0
65,2024-10-16,5250.0
103,2024-06-27,42477.0
38,2025-03-07,33889.0
6,2024-07-12,26900.0
91,2024-10-27,135697.0
18,2024-11-11,65699.0
3,2024-10-02,65949.0
89,2025-03-17,113996.0
95,2025-03-15,37878.0
97,2024-11-07,550.0
19,2024-04-30,27359.0
96,2024-07-30,30238.0
66,2024-12-09,64516.0
83,2024-11-24,47839.0
85,2024-10-02,53339.0
89,2025-03-19,4650.0
71,2024-11-08,42900.0
4,2024-05-29,81138.0
64,2024-11-17,142387.0
42,2024-12-28,1040.0
72,2024-09-16,72298.0
22,2024-05-11,9500.0
42,2024-11-20,47000.0
45,2024-07-30,24798.0
63,2024-02-24,64499.0
107,2024-12-02,101496.0
21,2024-07-25,550.0
82,2024-08-20,71299.0
64,2024-10-25,34700.0
6,2024-08-02,15350.0
51,2024-10-29,24750.0
113,2024-05-17,120448.0
97,2024-09-26,13999.0
56,2024-08-15,22499.0
38,2024-11-20,14500.0
76,2025-02-04,1850.0
7,2024-07-14,4600.0
29,2024-06-23,41018.0
23,2024-11-11,197196.0
73,2024-05-17,111688.0
17,2024-07-05,7600.0
92,2024-10-01,89357.0
103,2024-05-17,3800.0
28,2024-10-01,41550.0
40,2024-04-27,19308.0
17,2024-05-27,51028.0
91,2024-10-01,6400.0
18,2024-12-08,3900.0
111,2024-06-17,4200.0
56,2024-08-29,7980.0
55,2024-03-21,480.0
13,2024-12-02,12899.0
50,2024-02-28,2000.0
6,2024-08-13,23500.0
106,2024-07-30,40999.0
27,2024-12-14,131997.0
120,2025-01-11,35099.0
24,2024-12-21,86147.0
86,2024-03-17,27200.0
59,2024-04-04,3999.0
84,2024-08-30,29000.0
20,2024-05-20,95198.0
58,2024-06-14,3200.0
84,2024-07-22,5390.0
23,2024-12-22,3999.0
110,2024-07-26,18760.0
99,2024-05-13,42960.0
82,2024-10-18,71427.0
51,2024-11-04,44498.0
